qname,name
Q11552835,沖縄県第1区
Q11552836,沖縄県第2区
Q11552837,沖縄県第3区
Q11552839,沖縄県第4区
Q5878130,比例北海道ブロック
Q49913,比例東北ブロック
Q11547386,比例北関東ブロック
Q7570062,比例南関東ブロック
Q7814046,比例東京ブロック
Q11547387,比例北陸信越ブロック
Q11547389,比例東海ブロック
Q11547390,比例近畿ブロック
Q11547384,比例中国ブロック
Q7496611,比例四国ブロック
Q11547385,比例九州ブロック
